Track,Artist,Album_type
"lovely (with Khalid)",Khalid,single
"Eastside (with Halsey & Khalid)",Khalid,album
"The Middle",Zedd,single
Closer,"Nine Inch Nails",album
"The Middle","Jimmy Eat World",album
"The Middle",Grey,single
Closer,"Kings of Leon",album
"The Middle","Maren Morris",single
"Can't Hold Us (feat. Ray Dalton)",Macklemore,album
Closer,Ne-Yo,album
Happier,"Ed Sheeran",album
"Eastside (with Halsey & Khalid)","benny blanco",album
"Can't Hold Us (feat. Ray Dalton)","Ryan Lewis",album
"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",album
"STAY (with Justin Bieber)","Justin Bieber",album
"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",album
Happier,Bastille,single
Closer,Halsey,single
"Eastside (with Halsey & Khalid)",Halsey,album
Closer,"The Chainsmokers",single
Señorita,"Shawn Mendes",album
"Enemy (with JID) - from the series Arcane League of Legends","League of Legends",album
"Sunflower - Spider-Man: Into the Spider-Verse","Swae Lee",album
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",album
Happier,Marshmello,single
Señorita,"Camila Cabello",album
"Enemy (with JID) - from the series Arcane League of Legends",JID,album
"lovely (with Khalid)","Billie Eilish",single
happier,"Olivia Rodrigo",album
"STAY (with Justin Bieber)","The Kid LAROI",album
"Enemy (with JID) - from the series Arcane League of Legends",Arcane,album
