Track,Artist,Duration_mins
"lovely (with Khalid)",Khalid,3.34
"Eastside (with Halsey & Khalid)",Khalid,2.85
"The Middle",Zedd,3.08
Closer,"Nine Inch Nails",6.22
"The Middle","Jimmy Eat World",2.76
"The Middle",Grey,3.08
Closer,"Kings of Leon",3.96
"The Middle","Maren Morris",3.08
"Can't Hold Us (feat. Ray Dalton)",Macklemore,4.31
Closer,Ne-Yo,3.91
Happier,"Ed Sheeran",3.46
"Eastside (with Halsey & Khalid)","benny blanco",2.85
"Can't Hold Us (feat. Ray Dalton)","Ryan Lewis",4.31
"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",2.89
"STAY (with Justin Bieber)","Justin Bieber",2.36
"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",4.31
Happier,Bastille,3.57
Closer,Halsey,4.08
"Eastside (with Halsey & Khalid)",Halsey,2.85
Closer,"The Chainsmokers",4.08
Señorita,"Shawn Mendes",3.18
"Enemy (with JID) - from the series Arcane League of Legends","League of Legends",2.89
"Sunflower - Spider-Man: Into the Spider-Verse","Swae Lee",2.63
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2.63
Happier,Marshmello,3.57
Señorita,"Camila Cabello",3.18
"Enemy (with JID) - from the series Arcane League of Legends",JID,2.89
"lovely (with Khalid)","Billie Eilish",3.34
happier,"Olivia Rodrigo",2.93
"STAY (with Justin Bieber)","The Kid LAROI",2.36
"Enemy (with JID) - from the series Arcane League of Legends",Arcane,2.89
