Track,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
"lovely (with Khalid)",0.351,0.296,4,-10.109,0.0333,0.934,0,0.095,0.12,115.284
"Eastside (with Halsey & Khalid)",0.632,0.686,6,-7.665,0.243,0.549,0,0.2,0.329,89.949
"The Middle",0.753,0.657,7,-3.061,0.0449,0.171,0,0.112,0.437,107.01
Closer,0.547,0.714,10,-8.628,0.044,0.000242,0.636,0.122,0.541,89.996
"The Middle",0.643,0.849,2,-5.428,0.0526,0.0371,0,0.058,0.903,162.152
Closer,0.398,0.768,11,-4.624,0.0392,0.469,0.0000202,0.106,0.235,108.685
"Can't Hold Us (feat. Ray Dalton)",0.633,0.927,2,-4.468,0.0839,0.0267,0,0.0986,0.88,146.097
Closer,0.711,0.753,4,-6.461,0.0766,0.028,0.0000296,0.152,0.588,126.051
Happier,0.522,0.385,0,-7.355,0.0288,0.536,0,0.135,0.236,89.792
"Enemy (with JID) - from the series Arcane League of Legends",0.728,0.783,11,-4.424,0.266,0.237,0,0.434,0.555,77.011
"STAY (with Justin Bieber)",0.591,0.764,1,-5.484,0.0483,0.0383,0,0.103,0.478,169.928
Happier,0.687,0.792,5,-2.749,0.0452,0.191,0,0.167,0.671,100.015
Closer,0.748,0.524,8,-5.599,0.0338,0.414,0,0.111,0.661,95.01
Señorita,0.759,0.548,9,-6.049,0.029,0.0392,0,0.0828,0.749,116.967
"Sunflower - Spider-Man: Into the Spider-Verse",0.755,0.522,2,-4.368,0.0575,0.533,0,0.0685,0.925,89.96
happier,0.395,0.443,6,-9.72,0.133,0.765,0.00000967,0.0839,0.338,168.924
Despacito,0.655,0.797,2,-4.787,0.153,0.198,0,0.067,0.839,177.928
"Calma - Remix",0.826,0.764,11,-4.341,0.0522,0.337,0,0.161,0.761,126.9
"Wheels On The Bus",0.818,0.309,4,-12.522,0.0771,0.656,0,0.439,0.797,86.322
"Uptown Funk (feat. Bruno Mars)",0.856,0.609,0,-7.223,0.0824,0.00801,0.0000815,0.0344,0.928,114.988
"This Is What You Came For",0.631,0.927,9,-2.787,0.0332,0.199,0.119,0.148,0.465,123.962
"Shape of You",0.825,0.652,1,-3.183,0.0802,0.581,0,0.0931,0.931,95.977
"See You Again (feat. Charlie Puth)",0.689,0.481,10,-7.503,0.0815,0.369,0.00000103,0.0649,0.283,80.025
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)",0.696,0.817,1,-3.862,0.109,0.075,0,0.187,0.782,98.064
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.842,0.801,8,-4.167,0.228,0.157,0.00000482,0.0642,0.617,95.881
"Lean On",0.723,0.809,7,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007
"Wheels on the Bus",0.941,0.387,9,-11.92,0.0427,0.184,0.0000288,0.157,0.965,125.021
